company_name,address,phone number,latitude,longitude,url
Amazon Dc,"326C+WJH, MIDC Industrial Area, Juinagar, Navi Mumbai, Maharashtra 400705",not found,19.0623029,73.021623,"https://www.google.com/maps/place/Amazon+Dc/@19.083058,72.87894,11z/data=!4m10!1m2!2m1!1sAmazon+mumbai!3m6!1s0x3be7c14bcb898399:0x9e4cdb860f8b59ae!8m2!3d19.0623029!4d73.021623!15sCg1BbWF6b24gbXVtYmFpIgOIAQGSARBjb3Jwb3JhdGVfb2ZmaWNlqgFpCg0vZy8xMWJ5ZDBwY3FoCg0vZy8xMW41a3AxOXEwCggvbS8wbWdrZxABKgoiBmFtYXpvbigAMh4QASIahbrrZHeVu85aRnVeCnfVvivQD2IDaHpPvBQyERACIg1hbWF6b24gbXVtYmFp4AEA!16s%2Fg%2F11fd4jgrhk?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Biz-Metric India Pvt Ltd,"5th Floor, Amar Madhuban Tech Park, Bangalore-Pune Highway, opposite Audi Showroom, Baner, Pune, Maharashtra 411045",090280 01177,18.5501654,73.7730851,"https://www.google.com/maps/place/Biz-Metric+India+Pvt+Ltd/@19.0829325,72.3842372,9z/data=!4m10!1m2!2m1!1sBiz-metric+India+mumbai!3m6!1s0x3bc2bbc1aaaaaaab:0xe742d57d2dc23ec1!8m2!3d18.5501654!4d73.7730851!15sChdCaXotbWV0cmljIEluZGlhIG11bWJhaVoZIhdiaXogbWV0cmljIGluZGlhIG11bWJhaZIBEGNvcnBvcmF0ZV9vZmZpY2WaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTmlNRTlRUW1wblJSQUKqAVAQASoOIgpiaXogbWV0cmljKAAyHxABIhu_WwY8sSFnEZHLB71AvoKuGaniuhpg_AqtPTgyGxACIhdiaXogbWV0cmljIGluZGlhIG11bWJhaeABAPoBBAg1EEc!16s%2Fg%2F11c1vrn9c3?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Weaving Vibes,not found,096536 84785,19.109287,72.8885789,"https://www.google.com/maps/place/Weaving+Vibes/@19.083058,72.87894,11z/data=!3m1!5s0x3be7c80d4ae953b5:0x962c5ae7fd9588be!4m10!1m2!2m1!1sWeave+mumbai!3m6!1s0x3be7c960f439f00d:0x3b8d322d4d1d94ef!8m2!3d19.109287!4d72.8885789!15sCgxXZWF2ZSBtdW1iYWlaDiIMd2VhdmUgbXVtYmFpkgEMdGV4dGlsZV9taWxsqgFPCg0vZy8xMWtoajl5enhfEAEqCSIFd2VhdmUoADIfEAEiG_QU6sVwbl1F0x3buqybCAHpqjIvt-rQdAovKjIQEAIiDHdlYXZlIG11bWJhaeABAA!16s%2Fg%2F11sycyg964?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Piramal Finance Limited,"B-805 BSEL TECH PARK PLOT NO 39/5 AND 39/5A SECTOR 30A, opp. Vashi Railway Station, WEST, Vashi, Navi Mumbai, Maharashtra 400703",not found,19.0647117,72.9997087,"https://www.google.com/maps/place/Piramal+Finance+Limited/@19.083058,72.87894,11z/data=!4m10!1m2!2m1!1sPiramal+Finance+mumbai!3m6!1s0x3be7c14dc8131b37:0xb36ddf2cfcbcee0b!8m2!3d19.0647117!4d72.9997087!15sChZQaXJhbWFsIEZpbmFuY2UgbXVtYmFpIgOIAQGSAQtsb2FuX2FnZW5jeaoBfAoNL2cvMTFiYzZjXzdycQoNL2cvMTFoYnI5a3NfNAoIL20vMDR2bXAQASoTIg9waXJhbWFsIGZpbmFuY2UoADIfEAEiG-TLUexQlmmbOeESD0w6JGaXdTB0Uw9JnthSEjIaEAIiFnBpcmFtYWwgZmluYW5jZSBtdW1iYWngAQA!16s%2Fg%2F11x9mctjm?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Segments BVI,"Shop No 1 & 2, Veer Dhawal, L.T. Rd, Co-Operative Housing Society, Babhai Naka, Borivali West, Mumbai, Maharashtra 400091",096070 30303,19.2284395,72.8466172,"https://www.google.com/maps/place/Segments+BVI/@19.0829325,72.3842372,9z/data=!4m10!1m2!2m1!1sSegment+System+mumbai!3m6!1s0x3be7b1a4131ffe2d:0x5b914d3998422449!8m2!3d19.2284395!4d72.8466172!15sChVTZWdtZW50IFN5c3RlbSBtdW1iYWlaFyIVc2VnbWVudCBzeXN0ZW0gbXVtYmFpkgESaW50ZXJpb3JfZGVjb3JhdG9ymgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5PTVZsbU5rdG5FQUWqAWUKCC9tLzA0dm1wCggvbS8wYmo2chABKhIiDnNlZ21lbnQgc3lzdGVtKAAyHhABIhq4EPc7M-u_uBq8zQgE-X5sjoLLFtsQrOXdVjIZEAIiFXNlZ21lbnQgc3lzdGVtIG11bWJhaeABAPoBBAgoEDY!16s%2Fg%2F11y1_1bf3t?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Spas Computers Pvt Ltd - ITAD & Computer Refurbishing Company,"Hema Industrial Estate, Sarvodaya Ngr, Rajmata Jijabai Marg, Near, Meghwadi, Police Station, Jogeshwari East, Mumbai, Maharashtra 400069",088988 99899,19.1314271,72.8624915,"https://www.google.com/maps/place/Spas+Computers+Pvt+Ltd+-+ITAD+%26+Computer+Refurbishing+Company/@19.2284395,71.6930527,9z/data=!4m10!1m2!2m1!1sSegment+System+mumbai!3m6!1s0x3be7b7d7906b918f:0xd3643802b62e6657!8m2!3d19.1314271!4d72.8624915!15sChVTZWdtZW50IFN5c3RlbSBtdW1iYWlaFyIVc2VnbWVudCBzeXN0ZW0gbXVtYmFpkgEdY29tcHV0ZXJfc3VwcG9ydF9hbmRfc2VydmljZXOaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlNjMHRRVFMxM1JSQUKqAWUKCC9tLzA0dm1wCggvbS8wYmo2chABKhIiDnNlZ21lbnQgc3lzdGVtKAAyHhABIhq4EPc7M-u_uBq8zQgE-X5sjoLLFtsQrOXdVjIZEAIiFXNlZ21lbnQgc3lzdGVtIG11bWJhaeABAPoBBAgAEAw!16s%2Fg%2F11rqx4wbz?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
System Mutation,not found,022 6239 9730,19.1154632,72.9180493,"https://www.google.com/maps/place/System+Mutation/@19.2284395,71.6930527,9z/data=!4m10!1m2!2m1!1sSegment+System+mumbai!3m6!1s0x3be7c7ebb7e55555:0x66aeeb9951ede98!8m2!3d19.1154632!4d72.9180493!15sChVTZWdtZW50IFN5c3RlbSBtdW1iYWmSARBzb2Z0d2FyZV9jb21wYW55qgFREAEqEiIOc2VnbWVudCBzeXN0ZW0oADIeEAEiGrgQ9zsz67-4GrzNCAT5fmyOgssW2xCs5d1WMhkQAiIVc2VnbWVudCBzeXN0ZW0gbXVtYmFp4AEA!16s%2Fg%2F11vqv4txhn?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Prodigal Softtech India Pvt. Ltd.,not found,not found,19.2545905,72.9815339,"https://www.google.com/maps/place/Prodigal+Softtech+India+Pvt.+Ltd./@19.176258,72.8413344,12z/data=!4m10!1m2!2m1!1sProdigal+mumbai!3m6!1s0x3be7bb3c1cf9a58d:0x2855a2d9213e144e!8m2!3d19.2545905!4d72.9815339!15sCg9Qcm9kaWdhbCBtdW1iYWmSARBzb2Z0d2FyZV9jb21wYW55qgFFEAEqDCIIcHJvZGlnYWwoADIeEAEiGvwOnoU10aY91MeQ2f-vCdqFUzlazl19RJa_MhMQAiIPcHJvZGlnYWwgbXVtYmFp4AEA!16s%2Fg%2F11ltfy0mqc?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Mercer India,"Tower 2, 12th Floor, One World Centre, Jupiter Mills Compound Senapati Bapat Marg, Fitwala Rd, Mumbai, Maharashtra 400013",022 4342 4500,19.0066217,72.8322403,"https://www.google.com/maps/place/Mercer+India/@19.0905083,72.7646609,12z/data=!3m1!5s0x3be7ceeb76c5a61d:0x295a8cf8c4b51b2d!4m10!1m2!2m1!1sMercer+mumbai!3m6!1s0x3be7c80c75bfffff:0x37fe21942aa3846b!8m2!3d19.0066217!4d72.8322403!15sCg1NZXJjZXIgbXVtYmFpIgOIAQGSAR5idXNpbmVzc19tYW5hZ2VtZW50X2NvbnN1bHRhbnSqAYIBCg0vZy8xMWJjNWZoazR2Cg0vZy8xMWNrZmx3MGd6CgsvZy8xdGN2OWJ5OAoKL20vMDI3N210bAoIL20vMDR2bXAQASoKIgZtZXJjZXIoADIeEAEiGvOzqwE__uTKVGOobK5SMOltCeVUm7DI3mKhMhEQAiINbWVyY2VyIG11bWJhaeABAA!16s%2Fg%2F11ckflw0gz?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
Client Associates,"TOWER-3, One International Center, 1701-AB, Senapati Bapat Marg, Elphinstone (W), Mumbai, Maharashtra 400013",022 2422 2454,19.0108043,72.8351075,"https://www.google.com/maps/place/Client+Associates/@19.083058,72.87894,11z/data=!4m10!1m2!2m1!1sLeading+Client+mumbai!3m6!1s0x3be7cf5d9a8c970b:0xe58a9f94cb9c442f!8m2!3d19.0108043!4d72.8351075!15sChVMZWFkaW5nIENsaWVudCBtdW1iYWmSARRmaW5hbmNpYWxfY29uc3VsdGFudKoBZwoJL20vMDFqMG1rCggvbS8wNHZtcBABKhIiDmxlYWRpbmcgY2xpZW50KAAyHxABIhvlPBP-32eAJsnMeJUd79b2RMCID5M9Aq-Mc84yGRACIhVsZWFkaW5nIGNsaWVudCBtdW1iYWngAQA!16s%2Fg%2F11s2h_rwzg?entry=ttu&g_ep=EgoyMDI1MDcwNy4wIKXMDSoASAFQAw%3D%3D"
